time,flux,flux_err,centroid_col,centroid_row,cadenceno,quality
1472.1177793449679,258645.03125,18.723051071166992,231.9673225173918,131.14635857005212,66713,0
1472.1382122338982,258660.046875,18.72334861755371,231.9671381956879,131.1455329599996,66714,0
1472.1586449230672,258690.078125,18.723417282104492,231.96697751093495,131.14547901637522,66715,0
1472.1790778124705,258683.328125,18.72397232055664,231.96678360583206,131.14500604059887,66716,0
1472.1995106019822,258655.40625,18.723506927490234,231.96657673426097,131.14489915411463,66717,0
1472.2199432917332,258663.15625,18.723569869995117,231.96699753628025,131.14502413754656,66718,0
1472.2403761816604,258686.71875,18.724145889282227,231.96669495657952,131.14451785560516,66719,0
1472.2608089718124,258663.28125,18.724172592163086,231.96668273644525,131.14450988662415,66720,0
1472.2812416621455,258677.46875,18.724964141845703,231.96730220952983,131.14536238116384,66721,0
1472.3016745526547,258639.484375,18.723846435546875,231.96699207395633,131.14474533960026,66722,8192
1472.3221073433888,258673.1875,18.724273681640625,231.96696725551064,131.144896039356,66723,0
1472.3425401343047,258641.953125,18.72351837158203,231.96659739528687,131.144617405066,66724,0
1472.3629729254535,258718.4375,18.724424362182617,231.96676144596753,131.14480024185318,66725,0
1472.3834057167696,258678.25,18.724411010742188,231.96709556921496,131.145346143437,66726,0
1472.4038386082684,258717.6875,18.724506378173828,231.96667846472647,131.14529508774822,66727,0
1472.4242712999985,258704.8125,18.724735260009766,231.9674404796717,131.14503475224458,66728,0
1472.4447040918967,258685.265625,18.724056243896484,231.96709318886803,131.14540318035432,66729,0
1472.4651369839776,258742.390625,18.725297927856445,231.96710493907116,131.14551120487528,66730,0
1472.4855697762832,258720.65625,18.72562026977539,231.96717905942376,131.14568484377287,66731,0
1472.50600246877,258704.328125,18.724817276000977,231.9671684611684,131.14593362416574,66732,0
1472.5264353614912,258734.71875,18.724903106689453,231.9674186207295,131.14595501215783,66733,0
1472.5468681543862,258799.46875,18.72601890563965,231.96705222424296,131.1466825743037,66734,0
1472.5673009474485,258787.421875,18.725839614868164,231.96730512230928,131.14671162754865,66735,0
1472.587733740751,258755.109375,18.7251033782959,231.96727870787808,131.1467696246949,66736,0
1472.6081665342208,258756.890625,18.725130081176758,231.96802783235665,131.14710166311036,66737,0
1472.6285993279307,258799.859375,18.726036071777344,231.96786708719418,131.14727007767647,66738,0
1472.6490321218153,258779.84375,18.7255916595459,231.96771371274062,131.14737899222365,66739,0
1472.6694649158744,258728.734375,18.72581672668457,231.96772572898374,131.1475025033084,66740,0
1472.6898977101591,258751.890625,18.725414276123047,231.96789129166493,131.1475988826217,66741,0
1472.7103305046257,258765.0625,18.725435256958008,231.9681726111744,131.1478747847495,66742,0
1472.7307631993244,258810.65625,18.72600746154785,231.96803996331678,131.1482702372624,66743,0
1472.751196094192,258772.765625,18.725570678710938,231.96772851885055,131.14813735552394,66744,0
1472.7716288892407,258748.75,18.72542953491211,231.96794632895322,131.1486545203751,66745,0
1472.7920617845157,258792.96875,18.725627899169922,231.9681250481447,131.14878435004857,66746,0
1472.812494479971,258767.640625,18.725847244262695,231.96807859985333,131.14842522104192,66747,8192
1472.83292727566,258744.140625,18.726654052734375,231.96846153894947,131.14915950087294,66748,0
1472.8533601715171,258773.875,18.72650146484375,231.9685697284599,131.14953509591268,66749,8192
1472.8737928676128,258777.234375,18.726381301879883,231.968495213871,131.1493800204819,66750,0
1472.8942256638838,258749.375,18.72498893737793,231.96913424032692,131.14970322783813,66751,0
1472.914658560323,258738.75,18.725868225097656,231.9688816168854,131.14988510275668,66752,0
1472.9350912570007,258729.875,18.72451400756836,231.9687594471908,131.15004651968715,66753,0
1472.9759569509333,258748.734375,18.725130081176758,231.96916814411037,131.15090277634678,66755,0
1472.996389748194,258708.453125,18.72534942626953,231.9697069177036,131.15072280032516,66756,0
1473.016822545629,258718.65625,18.72505760192871,231.96924833092683,131.15070610614288,66757,0
1473.0372553432899,258686.40625,18.723705291748047,231.96875063476259,131.1507153032612,66758,0
1473.0576881411907,258796.234375,18.72585678100586,231.9690059359561,131.15105291515204,66759,0
1473.0781209392662,258761.796875,18.72731590270996,231.96909508278327,131.15122602078594,66760,0
1473.098553737509,258745.796875,18.72553253173828,231.96947549687806,131.15117026273802,66761,0
1473.1189865359338,258736.296875,18.726869583129883,231.96921207167802,131.1515043805011,66762,0
1473.1394194346503,258753.265625,18.72673988342285,231.96957614723917,131.15164390267083,66763,0
1473.1598521334745,258746.125,18.727005004882812,231.96923311998566,131.15186550759097,66764,0
1473.1802850325403,258691.484375,18.725723266601562,231.9695903480178,131.15193289718232,66765,0
1473.2007178318381,258742.984375,18.726505279541016,231.9694799642522,131.152167476023,66766,0
1473.2211505313026,258739.09375,18.726640701293945,231.96990030971602,131.1521594766848,66767,0
1473.2415834309504,258733.296875,18.726612091064453,231.96967415342914,131.1522556309333,66768,0
1473.2620162308303,258740.75,18.72655487060547,231.96974073049785,131.1524967882132,66769,0
1473.282448930935,258758.59375,18.72684097290039,231.96996672395443,131.15281411356622,66770,0
1473.3028818312232,258743.140625,18.72654914855957,231.970023414173,131.15270349242874,66771,0
1473.3233146316852,258796.0625,18.727203369140625,231.96987998576472,131.15268722271023,66772,0
1473.343747332372,258815.828125,18.729583740234375,231.969944105734,131.1532280812133,66773,0
1473.3641802332422,258758.1875,18.72726821899414,231.9700162661961,131.15311244332494,66774,0
1473.3846129342855,258749.078125,18.727062225341797,231.96990010769912,131.1529653618829,66775,0
1473.405045835556,258815.859375,18.72774314880371,231.9698896918256,131.1533456482702,66776,0
